Country;Year;Age;Sex;Rate
Afghanistan;2012;15-24;female;0,9923
Afghanistan;2012;15-24;male;0,7408
Afghanistan;2012;15+;female;0,4302
Afghanistan;2012;15+;male;0,9725
Afghanistan;2012;25-64;female;0,3046
Afghanistan;2012;25-64;male;0,9892
Afghanistan;2012;65+;female;0,8691
Afghanistan;2012;65+;male;0,1333
Albania;2012;15-24;female;0,9902
Albania;2012;15-24;male;0,9938
Albania;2012;15+;female;0,9614
Albania;2012;15+;male;0,9835
Albania;2012;25-64;female;0,9882
Albania;2012;25-64;male;0,9902
Albania;2012;65+;female;0,8389
Albania;2012;65+;male;0,9199
Algeria;2012;15-24;female;0,9938
Algeria;2012;15-24;male;0,9743
Algeria;2012;15+;female;0,8141
Algeria;2012;15+;male;0,9911
Algeria;2012;25-64;female;0,8293
Algeria;2012;25-64;male;0,9919
Algeria;2012;65+;female;0,983
Algeria;2012;65+;male;0,335
Argentina;2012;15-24;female;0,9961
Argentina;2012;15-24;male;0,9914
Argentina;2012;15+;female;0,991
Argentina;2012;15+;male;0,9911
Argentina;2012;25-64;female;0,9921
Argentina;2012;25-64;male;0,9916
Argentina;2012;65+;female;0,9801
Argentina;2012;65+;male;0,9876
Aruba;2012;15-24;female;0,9994
Aruba;2012;15-24;male;0,995
Aruba;2012;15+;female;0,9781
Aruba;2012;15+;male;0,9978
Aruba;2012;25-64;female;0,9826
Aruba;2012;25-64;male;0,9989
Aruba;2012;65+;female;0,9818
Aruba;2012;65+;male;0,942
Azerbaijan;2012;15-24;female;0,9992
Azerbaijan;2012;15-24;male;0,9996
Azerbaijan;2012;15+;female;0,997
Azerbaijan;2012;15+;male;0,9985
Azerbaijan;2012;25-64;female;0,9984
Azerbaijan;2012;25-64;male;0,9994
Azerbaijan;2012;65+;female;0,9796
Azerbaijan;2012;65+;male;0,9849
Bahrain;2012;15-24;female;0,7783
Bahrain;2012;15-24;male;0,9969
Bahrain;2012;15+;female;0,9746
Bahrain;2012;15+;male;0,5786
Bahrain;2012;25-64;female;0,9814
Bahrain;2012;25-64;male;0,5225
Bahrain;2012;65+;female;0,2718
Bahrain;2012;65+;male;0,7154
Bangladesh;2012;15-24;female;0,7937
Bangladesh;2012;15-24;male;0,7628
Bangladesh;2012;15+;female;0,5424
Bangladesh;2012;15+;male;0,6154
Bangladesh;2012;25-64;female;0,4722
Bangladesh;2012;25-64;male;0,5741
Bangladesh;2012;65+;female;0,1408
Bangladesh;2012;65+;male;0,3947
Belarus;2012;15-24;female;0,5249
Belarus;2012;15-24;male;0,9985
Belarus;2012;15+;female;0,9976
Belarus;2012;15+;male;0,3295
Belarus;2012;25-64;female;0,9982
Belarus;2012;25-64;male;0,2702
Belarus;2012;65+;female;0,0703
Belarus;2012;65+;male;0,9944
Benin;2012;15-24;female;0,4094
Benin;2012;15-24;male;0,6394
Benin;2012;15+;female;0,2209
Benin;2012;15+;male;0,4496
Benin;2012;25-64;female;0,1627
Benin;2012;25-64;male;0,3991
Benin;2012;65+;female;0,0136
Benin;2012;65+;male;0,1195
Bhutan;2012;15-24;female;0,8449
Bhutan;2012;15-24;male;0,904
Bhutan;2012;15+;female;0,4802
Bhutan;2012;15+;male;0,66
Bhutan;2012;25-64;female;0,3561
